crash_date,dotw,weekend,year,quarter,light_desc,county_desc,county_no,junction_desc,collision_type_desc,surf_cond_desc,rd_cond_desc,rd_div_desc,fix_obj_desc,report_no,acc_date,acc_time,signal_flag_desc,signal_flag,c_m_zone_flag,harm_event_code1,harm_event_desc2,harm_event_code2,rte_no,log_mile,logmile_dir_flag_desc,logmile_dir_flag,mainroad_name,distance,feet_miles_flag,distance_dir_flag,reference_no,reference_road_name,latitude,longitude,geocoded_column_type,geocoded_column_coordinates,report_type,weather_desc,feet_miles_flag_desc,reference_suffix,ped_injury,fatal_injury,harm_event_desc1,crash_datetime
2015-08-27,Thu,N,2015,Q3,Daylight,Baltimore City,24,Intersection,Other,Dry,No Defects,One-way Trafficway,Not Applicable,ADJ389000M,20150827,19:10:00,Yes,Y,N,1,Not Applicable,0,1025,1.4,South,S,N WOLFE ST,0,F,S,40,ORLEANS ST,39.2953570264001,-76.5907037258148,Point,,NA,NA,NA,NA,N,N,NA,2015-08-27T19:10:00Z
2015-11-16,Mon,N,2015,Q4,Daylight,Baltimore City,24,Intersection,Head On Left Turn,Dry,No Defects,"Two-way, Not Divided",Not Applicable,ADJ5630012,20151116,16:08:00,No,N,N,1,Not Applicable,0,40,6.7,East,E,ORLEANS ST,0,F,E,0,N CHESTER ST,39.2954026926398,-76.5876406431198,Point,,NA,NA,NA,NA,N,N,NA,2015-11-16T16:08:00Z
2016-08-09,Tue,N,2016,Q3,Daylight,Baltimore City,24,Intersection,Opposite Direction Both Left Turn,Dry,No Defects,"Two-way, Divided, Unprotected (painted >4 feet) Median",Not Applicable,ADI6680029,20160809,07:40:00,Yes,Y,N,1,Not Applicable,0,40,6.84,East,E,ORLEANS ST,0,F,E,1410,N PATTERSON PARK AVE,39.2955153013083,-76.5849530696869,Point,,Property Damage Crash,NA,NA,NA,N,N,NA,2016-08-09T07:40:00Z
2015-07-06,Mon,N,2015,Q3,NA,Baltimore City,24,Non Intersection,Same Direction Rear End,Unknown,No Defects,"Two-way, Not Divided",Not Applicable,ADI551000F,20150706,01:00:00,No,N,N,2,Not Applicable,0,40,6.753,East,E,ORLEANS ST,100,F,E,0,N COLLINGTON AVE,39.296529809026,-76.5863049030304,Point,,NA,Unknown,NA,NA,N,N,NA,2015-07-06T01:00:00Z
2015-12-09,Wed,N,2015,Q4,Dark Lights On,Baltimore City,24,Not Applicable,Same Direction Sideswipe,Dry,Not Applicable,One-way Trafficway,Not Applicable,ADI951000L,20151209,18:15:00,Yes,Y,N,1,Parked Vehicle,2,NA,0,NA,NA,UNIT BLK OF S. WOLFE ST.,2,F,W,NA,1800 BLK OF E. LOMBARD ST.,39.2905888919182,-76.5904113650322,Point,,NA,NA,NA,NA,N,N,NA,2015-12-09T18:15:00Z
2018-05-25,Fri,N,2018,Q2,Daylight,Baltimore City,24,Intersection,Same Movement Angle,Dry,Not Applicable,"Two-way, Not Divided",Not Applicable,ADJ2320023,20180525,16:00:00,No,N,N,1,Not Applicable,0,40,6.643,East,E,ORLEANS ST,0,F,E,0,N CASTLE ST,39.2953715565705,-76.5885110199451,Point,,Injury Crash,Clear,NA,NA,N,N,NA,2018-05-25T16:00:00Z
2016-07-17,Sun,Y,2016,Q3,Dark Lights On,Baltimore City,24,Intersection,Same Movement Angle,Dry,No Defects,"Two-way, Divided, Unprotected (painted >4 feet) Median",Building,ADI1510004,20160717,02:12:00,Yes,Y,N,1,Other Vehicle,1,1680,0.968,West,W,E FAYETTE ST,0,F,W,0,N CHESTER ST,39.2942112091805,-76.5875467658043,Point,,Property Damage Crash,NA,NA,NA,N,N,NA,2016-07-17T02:12:00Z
2015-09-20,Sun,Y,2015,Q3,Dark Lights On,Baltimore City,24,Intersection,Same Movement Angle,Dry,No Defects,"Two-way, Not Divided",Not Applicable,ADI9970015,20150920,20:36:00,Yes,Y,N,1,Not Applicable,0,1665,1.266,East,E,E BALTIMORE ST,0,F,E,0,S ANN ST,39.2916226726291,-76.591819524765,Point,,NA,NA,NA,NA,N,N,NA,2015-09-20T20:36:00Z
2017-04-16,Sun,Y,2017,Q2,Daylight,Baltimore City,24,Intersection,Same Direction Rear End,Dry,No Defects,"Two-way, Divided, Unprotected (painted >4 feet) Median",Not Applicable,ADI367000R,20170416,09:35:00,Yes,Y,N,1,Other Vehicle,1,NA,0,NA,NA,2000 E. FAYETTE ST.,0,F,W,NA,200 N. CHESTER ST.,39.2942049818618,-76.5874528884888,Point,,Property Damage Crash,Not Applicable,NA,NA,N,N,NA,2017-04-16T09:35:00Z
2018-12-23,Sun,Y,2018,Q4,Dark Lights On,Baltimore City,24,Not Applicable,Other,Dry,No Defects,One-way Trafficway,Building,ADJ8850018,20181223,23:38:00,No,N,N,1,Fixed Object,9,NA,0,NA,NA,UNIT N WASHINGTON,0,F,N,NA,2000 E BALTIMORE,39.2917128315896,-76.5891437892424,Point,,Property Damage Crash,Not Applicable,NA,NA,N,N,NA,2018-12-23T23:38:00Z
