date,count,cumulative,package
2018-08-01,5640,5640,sp
2018-08-02,5791,11431,sp
2018-08-03,5201,16632,sp
2018-08-04,2807,19439,sp
2018-08-05,2623,22062,sp
2018-08-06,5185,27247,sp
2018-08-07,5620,32867,sp
2018-08-08,5927,38794,sp
2018-08-09,5715,44509,sp
2018-08-10,5211,49720,sp
2018-08-11,2645,52365,sp
2018-08-12,2449,54814,sp
2018-08-13,5460,60274,sp
2018-08-14,5938,66212,sp
2018-08-15,5037,71249,sp
2018-08-16,5400,76649,sp
2018-08-17,4526,81175,sp
2018-08-18,2497,83672,sp
2018-08-19,2375,86047,sp
2018-08-20,5297,91344,sp
2018-08-21,5656,97000,sp
2018-08-22,6203,103203,sp
2018-08-23,6152,109355,sp
2018-08-24,5182,114537,sp
2018-08-25,2437,116974,sp
2018-08-26,2475,119449,sp
2018-08-27,5992,125441,sp
2018-08-28,6754,132195,sp
2018-08-29,6811,139006,sp
2018-08-30,6799,145805,sp
2018-08-31,5598,151403,sp
2018-09-01,2881,154284,sp
2018-09-02,2659,156943,sp
2018-09-03,4994,161937,sp
2018-09-04,7223,169160,sp
2018-09-05,6946,176106,sp
2018-09-06,7109,183215,sp
2018-09-07,5822,189037,sp
2018-09-08,3181,192218,sp
2018-09-09,3193,195411,sp
2018-09-10,7550,202961,sp
2018-09-11,8517,211478,sp
2018-09-12,8977,220455,sp
2018-09-13,8475,228930,sp
2018-09-14,7575,236505,sp
2018-09-15,3615,240120,sp
2018-09-16,3549,243669,sp
2018-09-17,8854,252523,sp
2018-09-18,9395,261918,sp
2018-09-19,9519,271437,sp
2018-09-20,9465,280902,sp
2018-09-21,7429,288331,sp
2018-09-22,3805,292136,sp
2018-09-23,4015,296151,sp
2018-09-24,9318,305469,sp
2018-09-25,9390,314859,sp
2018-09-26,9948,324807,sp
2018-09-27,9637,334444,sp
2018-09-28,7770,342214,sp
2018-09-29,4215,346429,sp
2018-09-30,4071,350500,sp
2018-10-01,8680,359180,sp
2018-10-02,10027,369207,sp
2018-10-03,9588,378795,sp
2018-10-04,9309,388104,sp
2018-10-05,7834,395938,sp
2018-10-06,3746,399684,sp
2018-10-07,3809,403493,sp
2018-10-08,8916,412409,sp
2018-10-09,9235,421644,sp
2018-10-10,10009,431653,sp
2018-10-11,9596,441249,sp
2018-10-12,7361,448610,sp
2018-10-13,4091,452701,sp
2018-10-14,4071,456772,sp
2018-10-15,9005,465777,sp
2018-10-16,10168,475945,sp
2018-10-17,9483,485428,sp
2018-10-18,9123,494551,sp
2018-10-19,8086,502637,sp
2018-10-20,4100,506737,sp
2018-10-21,4085,510822,sp
2018-10-22,9788,520610,sp
2018-10-23,10414,531024,sp
2018-10-24,10677,541701,sp
2018-10-25,9606,551307,sp
2018-10-26,8156,559463,sp
2018-10-27,3973,563436,sp
2018-10-28,3933,567369,sp
2018-10-29,8724,576093,sp
2018-10-30,9846,585939,sp
2018-10-31,9939,595878,sp
2018-11-01,7988,603866,sp
2018-11-02,7062,610928,sp
2018-11-03,3793,614721,sp
2018-11-04,4020,618741,sp
2018-11-05,9182,627923,sp
2018-11-06,10005,637928,sp
2018-11-07,9272,647200,sp
2018-11-08,9254,656454,sp
2018-11-09,8035,664489,sp
2018-11-10,4304,668793,sp
2018-11-11,4105,672898,sp
2018-11-12,9048,681946,sp
2018-11-13,10212,692158,sp
2018-11-14,9933,702091,sp
2018-11-15,9439,711530,sp
2018-11-16,8765,720295,sp
2018-11-17,3984,724279,sp
2018-11-18,4327,728606,sp
2018-11-19,8943,737549,sp
2018-11-20,9403,746952,sp
2018-11-21,9021,755973,sp
2018-11-22,7759,763732,sp
2018-11-23,6574,770306,sp
2018-11-24,3900,774206,sp
2018-11-25,4159,778365,sp
2018-11-26,9450,787815,sp
2018-11-27,10481,798296,sp
2018-11-28,10253,808549,sp
2018-11-29,9684,818233,sp
2018-11-30,8390,826623,sp
2018-12-01,4120,830743,sp
2018-12-02,4494,835237,sp
2018-12-03,9427,844664,sp
2018-12-04,9727,854391,sp
2018-12-05,9336,863727,sp
2018-12-06,8596,872323,sp
2018-12-07,7507,879830,sp
2018-12-08,4185,884015,sp
2018-12-09,4062,888077,sp
2018-12-10,8167,896244,sp
2018-12-11,8630,904874,sp
2018-12-12,8046,912920,sp
2018-12-13,7738,920658,sp
2018-12-14,6199,926857,sp
2018-12-15,3522,930379,sp
2018-12-16,3476,933855,sp
2018-12-17,6528,940383,sp
2018-12-18,7007,947390,sp
2018-12-19,6840,954230,sp
2018-12-20,5775,960005,sp
2018-12-21,4645,964650,sp
2018-12-22,2502,967152,sp
2018-12-23,2569,969721,sp
2018-12-24,2782,972503,sp
2018-12-25,2345,974848,sp
2018-12-26,3410,978258,sp
2018-12-27,3779,982037,sp
2018-12-28,3376,985413,sp
2018-12-29,2213,987626,sp
2018-12-30,2080,989706,sp
2018-12-31,2697,992403,sp
2019-01-01,1967,994370,sp
2019-01-02,4420,998790,sp
2019-01-03,5062,1003852,sp
2019-01-04,4612,1008464,sp
2019-01-05,3056,1011520,sp
2019-01-06,2859,1014379,sp
2019-01-07,6596,1020975,sp
2019-01-08,6914,1027889,sp
2019-01-09,7286,1035175,sp
2019-01-10,7040,1042215,sp
2019-01-11,6422,1048637,sp
2019-01-12,3116,1051753,sp
2019-01-13,3119,1054872,sp
2019-01-14,7509,1062381,sp
2019-01-15,8113,1070494,sp
2019-01-16,8594,1079088,sp
2019-01-17,8376,1087464,sp
2019-01-18,7371,1094835,sp
2019-01-19,3466,1098301,sp
2019-01-20,3355,1101656,sp
2019-01-21,6766,1108422,sp
2019-01-22,8677,1117099,sp
2019-01-23,9120,1126219,sp
2019-01-24,8690,1134909,sp
